"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse"
"215",1916,279506.771773363,1022697.05406658,3881.87776656407,13090.4373224981,1319176.14092901
"216",1917,276035.053237777,1012195.23309035,3871.00602960234,12960.49129272,1305061.78365045
"217",1918,275118.69482315,1008017.94502851,3856.11416934009,12803.3514159203,1299796.10543692
"218",1919,445116.894262036,1315940.35679364,4053.66009808741,13266.607503156,1778377.51865692
"219",1920,441307.353880543,1303946.96766846,4041.29399987193,13133.2918386904,1762428.90738756
"220",1921,436813.479144188,1293455.64153331,4035.93638733616,13031.2510340259,1747336.30809886
"221",1922,12546.6307711304,339574.783962788,2903.51755760107,25539.8238908742,380564.756182393
"222",1923,12171.4591251052,335533.823390557,2854.43446716406,25050.3915083765,375610.108491202
"223",1924,37355.1054265289,128534.131524548,6304.70191284382,20990.4289263277,193184.367790249
"224",1925,11878.5228438185,332905.601373767,2810.16958394155,24604.4058463089,372198.699647836
"225",1926,60902.871873635,591919.533048219,2694.73884240911,22724.8497468154,678241.993511079
"226",1927,59848.5085417795,586187.789358478,2649.77651371387,22275.520124868,670961.594538839
"227",1928,58917.9855137109,580950.325299814,2609.60399498305,21858.6250450092,664336.539853518
"228",1929,155666.391828226,847535.624513671,2537.20161495177,20367.2821377193,1026106.50009457
"229",1930,154739.974180413,842154.934516184,2491.99878106832,19925.5957082586,1019312.50318592
"230",1931,152162.240316629,831635.380339952,2461.17674071265,19576.5664277337,1005835.36382503
"231",1932,44210.5641185838,484406.977826906,2694.7792238305,22603.8379593896,553916.15912871
"232",1933,43187.7164224644,479477.053556329,2651.05283328716,22154.1975328689,547470.020344949
"233",1934,42584.6444256904,475889.579205261,2609.47053086445,21738.7569337601,542822.451095576
"234",1935,10887.3396793213,269857.42946232,6556.50138955675,21912.0495825077,309213.320113706
"235",1936,133346.428533046,761047.960394808,2519.61732721035,20051.8200413527,916965.826296417
"236",1937,132027.663750625,755524.220335415,2473.32830420636,19601.3660898236,909626.57848007
"237",1938,129899.16512741,747801.199212992,2440.56831015364,19241.1144547429,899382.047105299
"238",1939,258525.787128957,1031111.14091151,2394.77844254565,17956.3401635269,1309988.04664654
"239",1940,256293.428434669,1023579.00042461,2351.53409687239,17533.8482823486,1299757.8112385
"240",1941,252854.056418304,1011810.662781,2321.5691154089,17199.0233298787,1284185.31164459
"241",1942,114829.190940904,649069.097233743,2513.35361749047,19834.5184177974,786246.160209935
"242",1943,112892.793444848,641768.10700564,2472.09813039413,19407.7962222259,776540.794803108
"243",1944,111680.194663956,637847.026340627,2431.61975048693,19013.1766325298,770972.017387599
"244",1945,NA,NA,NA,NA,NA
