"sim_id","program_id","undisc_inc","disc_inc"
85507,1,13591.5629664795,11936.9489716035
85507,2,11278.4904843983,9954.45374028135
85507,3,10464.5749218449,9249.63310673246
85531,1,12037.9661198902,10582.6099819025
85531,2,9386.43023457297,8307.35250490438
85531,3,8902.77305769414,7886.77027037427
85536,1,12347.620748372,10838.0438193081
85536,2,9508.06049383944,8399.86658493988
85536,3,9323.01387009204,8238.92228457272
85591,1,12869.3309227999,11293.2189753416
85591,2,10405.8128480603,9179.55569800384
85591,3,9809.28127276947,8664.33620145329
8572,1,13239.3508965539,11621.3061422829
8572,2,10620.498947988,9378.32015256235
8572,3,10138.4587455863,8959.47871890887
85741,1,12321.1702620588,10823.7022493443
85741,2,9806.74904780538,8665.58781489098
85741,3,9585.57999361829,8471.26878940557
85882,1,12670.792614831,11138.6367385549
85882,2,10011.774498538,8854.80205418809
85882,3,9493.21423459,8403.62315832714
86109,1,13549.5350552318,11897.2395525627
86109,2,10470.800550197,9254.81554034985
86109,3,10387.9071625396,9180.10587635178
86113,1,12568.7303775001,11040.2648009739
86113,2,9786.98623343798,8653.16492433945
86113,3,9390.21844372037,8307.33427078331
86114,1,13317.7977721659,11691.1429180942
86114,2,10910.5776144785,9625.67440751337
86114,3,10551.1292989232,9313.29127234552
86127,1,11937.4762858189,10489.8666890327
86127,2,8857.79927627185,7841.55313253718
86127,3,8657.77943503969,7667.69732351596
86224,1,11934.0002824029,10487.140992476
86224,2,8849.06939551046,7839.17234933957
86224,3,8783.25058351245,7779.85195497608
86252,1,13184.7673184495,11573.4148373149
86252,2,10016.0538445461,8851.25776494524
86252,3,9936.02253880181,8778.25038687945
86265,1,13378.6072583725,11758.3171509732
86265,2,10618.7425815748,9389.64050566239
86265,3,10506.8229511452,9287.25742372951
86449,1,12011.8188940004,10544.9581928707
86449,2,9343.12519544813,8253.90340458413
86449,3,9163.15070405031,8095.75855190864
86501,1,11572.3083983864,10163.341126427
86501,2,8902.64672024492,7867.18642352764
86501,3,8699.04021399889,7689.04633817653
86523,1,13422.1430087265,11785.8001246278
86523,2,10219.6733067351,9038.83787458988
86523,3,9959.25594696664,8811.64417667153
86564,1,12504.1003175373,10982.6497552037
86564,2,10141.0666438697,8953.43799430323
86564,3,9640.78966723443,8519.70061261992
86601,1,13267.7674518098,11662.6650874699
86601,2,10308.8758581188,9118.4271702682
86601,3,10062.3654533103,8902.06732688829
8680,1,13010.1042209074,11431.3890500559
8680,2,10354.5595588714,9146.28038839103
8680,3,10010.3739563492,8846.508133352
86813,1,12742.6227203795,11198.6300347095
86813,2,9950.93264975196,8803.93050107852
86813,3,9686.92707194966,8572.51950755844
86977,1,13504.7794553712,11850.5874299569
86977,2,10820.7154948909,9544.31116755255
86977,3,10583.0931855681,9335.85764442747
86982,1,11723.9704415814,10300.7700535384
86982,2,8924.43388537452,7897.37097582941
86982,3,8725.26485041661,7723.83327555436
87004,1,11519.9370110574,10120.7569458956
87004,2,9128.43311554969,8064.28330978065
87004,3,9008.94357167158,7957.80649069823
87143,1,12930.853716427,11341.4452507409
87143,2,10202.5904203543,9003.79985953623
87143,3,9838.58462232336,8686.52856620729
87205,1,13097.9739022815,11496.4519999825
87205,2,10355.0892906854,9142.71432843714
87205,3,9992.97845683651,8828.54838952158
87252,1,13527.527604364,11882.7876440108
87252,2,10779.2621658978,9527.60642034349
87252,3,10202.4199778413,9026.17987335275
87614,1,12614.4499721689,11079.4089191997
87614,2,9394.10229780785,8316.77368150942
87614,3,9239.39051694442,8180.80812916524
87675,1,13213.1245113643,11608.6069651172
87675,2,10319.5920262234,9131.85544391906
87675,3,9666.72024954512,8565.79598083313
87718,1,12048.9702801857,10585.5408037664
87718,2,9099.20212370997,8045.74484704888
87718,3,9042.44943312674,7993.97315032184
87948,1,13173.5468259831,11563.9513210104
87948,2,10411.5811521581,9195.359868872
87948,3,10149.468024488,8965.58326393925
88327,1,13679.4776028051,12002.568932051
88327,2,10957.4164745796,9665.7740184927
88327,3,10747.5600240167,9481.87530478132
88364,1,13406.0517587049,11777.5479649437
88364,2,10865.266479333,9600.8112908195
88364,3,10105.6640682169,8942.97233510818
88416,1,12617.1551223281,11072.5228517486
88416,2,10339.0314567453,9115.80939975915
88416,3,9737.96990847769,8596.26479652469
88514,1,10539.8536340109,9263.28241662077
88514,2,8124.02797318351,7187.77346033317
88514,3,8082.73379685007,7149.27111048475
88562,1,13157.6164457486,11553.8938276293
88562,2,10765.6230040658,9500.80184494914
88562,3,10514.5104945281,9281.6458476839
88680,1,13462.1835190251,11819.1138474052
88680,2,10850.5715533932,9577.45134507123
88680,3,10504.429106382,9276.14092648606
88690,1,12330.5957564078,10829.1839551135
88690,2,9280.31883612384,8213.62521642583
88690,3,8983.99869858757,7954.97559275231
8881,1,13394.9232437519,11763.3790266096
8881,2,10613.1917539596,9376.35824544835
8881,3,10091.0792832391,8925.18919735112
88815,1,13429.7538501702,11797.6862710764
88815,2,10956.7534716567,9681.6012964691
88815,3,10368.0449756567,9169.2364280423
88836,1,12177.217907722,10699.2026534419
88836,2,9578.76232327417,8464.36615284399
88836,3,9516.96735070637,8406.75678862634
88867,1,13509.1319158555,11854.6428582455
88867,2,10987.9999966099,9695.99224371018
88867,3,10511.7619137895,9281.83862543835
88973,1,14124.3558934981,12393.9817460778
88973,2,11385.1996918446,10042.6635509554
88973,3,11097.0289282196,9790.62284850354
89138,1,12216.3242039356,10726.1483852377
89138,2,9567.99775742881,8452.34456439781
89138,3,9386.11265062216,8292.3542699067
8927,1,13656.8782515576,11995.3182069655
8927,2,10718.0963761763,9472.24111011257
8927,3,10288.8402948114,9101.70274006664
89276,1,13816.3470886306,12131.1985363784
89276,2,10783.2130390907,9528.89616885958
89276,3,10499.2540325239,9281.3333554278
89282,1,11695.2210033559,10265.1937087827
89282,2,9069.0372107489,8009.28096229472
89282,3,9023.80489143146,7968.11880189588
8938,1,12762.7813788365,11207.4829546486
8938,2,10017.5284721468,8851.9426344482
8938,3,9816.00330179316,8674.46841119866
89409,1,12694.4888887326,11156.4467370714
89409,2,9940.84064535938,8791.34386847817
89409,3,9652.16033266355,8541.25656950776
89502,1,13081.065519337,11484.7903655502
89502,2,10233.9650687336,9043.82873264429
89502,3,10017.5924452356,8853.09496135757
89507,1,12246.359786663,10749.6424058423
89507,2,9758.07943165466,8611.78183944852
89507,3,9511.4911779863,8397.5368017575
89572,1,12167.9499112193,10694.6226953275
89572,2,9646.17195437552,8529.27271806395
89572,3,9452.39867860227,8357.92316868654
89618,1,11965.8235604194,10509.8786463331
89618,2,8900.80902782971,7877.49105918983
89618,3,8730.46380685752,7729.13907537875
89679,1,12878.2450730454,11321.5909289789
89679,2,9916.1619873037,8778.18638639325
89679,3,9627.84673549127,8527.71071356524
8974,1,13985.6473482881,12287.2391104012
8974,2,11163.4464068686,9865.93995858582
